id_municipio,sigla_uf,risco_medio,alunos,criancas_em_risco,nome_municipio_ibge
3304144,RJ,0.6047103512917673,1304,788.5422980844645,Queimados
1501709,PA,0.6156911895824198,1276,785.6219579071676,Bragança
1302504,AM,0.5743876312053313,1362,782.3159537016612,Manacapuru
3520509,SP,0.3017897842747354,2549,769.2621601163006,Indaiatuba
2101400,MA,0.5959791779024669,1289,768.2171603162798,Balsas
2610707,PE,0.39876944337983783,1920,765.6373312892887,Paulista
3526902,SP,0.3109697677164749,2459,764.6746588148118,Limeira
1304062,AM,0.572714283127195,1323,757.7009965772789,Tabatinga
5003207,MS,0.5943459975329303,1263,750.6589948840909,Corumbá
2103000,MA,0.47798220884548903,1561,746.1302280078083,Caxias
2914802,BA,0.69102632878392,1076,743.5443297714979,Itabuna
3302858,RJ,0.6209328471798242,1193,740.7728866855304,Mesquita
1304203,AM,0.5497481240797178,1345,739.4112268872206,Tefé
3529401,SP,0.20048646054712935,3680,737.790174813436,Mauá
2707701,AL,0.5725848017827215,1284,735.1988854890144,Rio Largo
3300100,RJ,0.3766739507864808,1933,728.1107468702673,Angra dos Reis
1504422,PA,0.5219277068311814,1393,727.0452956158357,Marituba
2107506,MA,0.450386133396532,1590,716.1139521004859,Paço do Lumiar
5221858,GO,0.3410192832961691,2097,715.1174370720667,Valparaíso de Goiás
3303906,RJ,0.3333316067604167,2143,714.329633287573,Petrópolis
4109401,PR,0.2955914761197937,2414,713.557823353182,Guarapuava
3302270,RJ,0.6386478421502522,1108,707.6218091024795,Japeri
3157807,MG,0.2781381629140502,2541,706.7490719646015,Santa Luzia
1301902,AM,0.5365943428582255,1314,705.0849665157083,Itacoatiara
3522208,SP,0.36871539884556576,1894,698.3469654135015,Itapecerica da Serra
5220454,GO,0.3794053100493275,1823,691.655880219924,Senador Canedo
4107652,PR,0.3318240575909593,2077,689.1985676164225,Fazenda Rio Grande
4209300,SC,0.42917014436713785,1605,688.8180817092563,Lages
4204608,SC,0.33500847727909844,2032,680.7372258311281,Criciúma
3516408,SP,0.39401957186180653,1712,674.5615070274127,Franco da Rocha
4303103,RS,0.5794867248990021,1161,672.7840876077414,Cachoeirinha
2900702,BA,0.6075332847948411,1091,662.8188137111716,Alagoinhas
1508100,PA,0.5530591643903077,1188,657.0342872956855,Tucuruí
3205309,ES,0.2313560996856015,2823,653.1182694124531,Vitória
1600600,AP,0.39327501832614564,1660,652.8365304214018,Santana
2207702,PI,0.44622570331190026,1463,652.8282039453101,Parnaíba
4126256,PR,0.42082411427023836,1550,652.2773771188695,Sarandi
3300209,RJ,0.42059716209098547,1544,649.4020182684816,Araruama
3529005,SP,0.31454481499712694,2040,641.671422594139,Marília
4322400,RS,0.5707520290998721,1122,640.3837766500565,Uruguaiana
2930709,BA,0.5718904434148596,1117,638.8016252943981,Simões Filho
3548906,SP,0.2989298404611885,2133,637.617349703715,São Carlos
4309308,RS,0.6309448663794579,1001,631.5758112458374,Guaíba
1508001,PA,0.5212736905301402,1211,631.2624392319998,Tomé-Açu
4320008,RS,0.486431225570952,1293,628.9555746632409,Sapucaia do Sul
3543907,SP,0.3750484192262037,1670,626.3308601077601,Rio Claro
1500404,PA,0.6243470153437489,979,611.2357280215302,Alenquer
2918001,BA,0.5976765225676228,1021,610.2277295415429,Jequié
3127701,MG,0.28130966022779724,2167,609.5980337136366,Governador Valadares
3555406,SP,0.5304608619780642,1149,609.4995304127957,Ubatuba
3203205,ES,0.29299575412142276,2067,605.6222237689808,Linhares
1507953,PA,0.6006702382821821,1005,603.6735894735931,Tailândia
4101804,PR,0.3087646497089343,1952,602.7085962318398,Araucária
1303403,AM,0.4232063232742257,1410,596.7209158166582,Parintins
1505304,PA,0.6356085364859163,935,594.2939816143318,Oriximiná
2910727,BA,0.6140321860107383,966,593.1550916863732,Eunápolis
2112209,MA,0.2744335759426157,2150,590.0321882766237,Timon
3522307,SP,0.4089416780890574,1430,584.7865996673521,Itapetininga
1505502,PA,0.3938901510012726,1473,580.2001924248746,Paragominas
1507300,PA,0.6797190719150131,853,579.8003683435062,São Félix do Xingu
3541406,SP,0.33622033288629743,1720,578.2989725644316,Presidente Prudente
1200203,AC,0.47151734308729826,1219,574.7796412234165,Cruzeiro do Sul
4119509,PR,0.44144731933200076,1293,570.791383896277,Piraquara
4100400,PR,0.48201124669441564,1179,568.291259852716,Almirante Tamandaré
3522109,SP,0.4244547154786143,1337,567.4959545949073,Itanhaém
1301852,AM,0.6296790312857549,897,564.8220910633221,Iranduba
3507605,SP,0.37682915032064995,1475,555.8229967229587,Bragança Paulista
2103307,MA,0.4528772500372893,1226,555.2275085457167,Codó
1501808,PA,0.4983077884152055,1105,550.6301061988021,Breves
1504703,PA,0.6526462657731995,841,548.8755095152608,Moju
3305802,RJ,0.36287901107637477,1507,546.8586696920968,Teresópolis
4118204,PR,0.3445490979925732,1585,546.1103203182286,Paranaguá
